t_ms,blink_left,blink_right,blink_mean,gaze_dx,gaze_dy,mouth_open,brow_left,brow_right,brow_mean,iris_r_left,iris_r_right,iris_r_mean,gconf_left,gconf_right,gconf_mean
1760904731694.966,0.144121,0.217923,0.181022,-0.020141,-0.100416,0.041743,1.000000,1.000000,1.000000,0.089343,0.095780,0.092561,1.000000,1.000000,1.000000
1760904731866.903,0.132599,0.141291,0.136945,0.029011,-0.057214,0.000621,1.000000,1.000000,1.000000,0.088695,0.086912,0.087803,1.000000,1.000000,1.000000
1760904731878.465,0.143268,0.127677,0.135473,-0.013257,-0.074979,0.010155,1.000000,1.000000,1.000000,0.089304,0.092586,0.090945,1.000000,1.000000,1.000000
1760904731890.854,0.096702,0.040238,0.068470,-0.015165,-0.106381,0.005762,1.000000,1.000000,1.000000,0.092388,0.091349,0.091869,1.000000,1.000000,1.000000
1760904731902.386,0.094452,0.007971,0.051211,-0.059977,-0.102652,0.006215,1.000000,1.000000,1.000000,0.091439,0.090391,0.090915,1.000000,1.000000,1.000000
1760904731940.296,0.100060,0.000000,0.050030,-0.144326,-0.051764,0.004090,1.000000,1.000000,1.000000,0.088259,0.097158,0.092708,1.000000,1.000000,1.000000
1760904732003.940,0.102622,0.000000,0.051311,-0.128848,-0.063716,0.001493,1.000000,1.000000,1.000000,0.088284,0.094940,0.091612,1.000000,1.000000,1.000000
1760904732072.266,0.000000,0.000000,0.000000,-0.162897,-0.086865,0.001680,1.000000,1.000000,1.000000,0.086742,0.103213,0.094978,1.000000,1.000000,1.000000
1760904732140.171,0.000000,0.000000,0.000000,-0.161645,-0.068801,0.004182,1.000000,1.000000,1.000000,0.087023,0.102306,0.094664,1.000000,1.000000,1.000000
1760904732203.966,0.000000,0.000000,0.000000,-0.162213,-0.076114,0.007918,1.000000,1.000000,1.000000,0.088737,0.102236,0.095486,1.000000,1.000000,1.000000
1760904732271.884,0.022057,0.000000,0.011028,-0.138818,-0.091730,0.018988,1.000000,1.000000,1.000000,0.087542,0.097521,0.092532,1.000000,1.000000,1.000000
1760904732340.387,0.202538,0.147325,0.174931,-0.078632,-0.066674,0.017738,1.000000,1.000000,1.000000,0.091309,0.085993,0.088651,1.000000,1.000000,1.000000
1760904732403.968,0.108127,0.167685,0.137906,-0.083828,-0.069436,0.012541,1.000000,1.000000,1.000000,0.091211,0.088174,0.089693,1.000000,1.000000,1.000000
1760904732472.373,0.017220,0.106589,0.061905,-0.003875,-0.071224,0.024817,1.000000,1.000000,1.000000,0.092615,0.085361,0.088988,1.000000,1.000000,1.000000
1760904732540.165,0.007182,0.123412,0.065297,-0.043910,-0.095340,0.026924,1.000000,1.000000,1.000000,0.088386,0.085148,0.086767,1.000000,1.000000,1.000000
1760904732604.623,0.000000,0.102685,0.051343,-0.019267,-0.101658,0.138231,1.000000,1.000000,1.000000,0.092510,0.087683,0.090096,1.000000,1.000000,1.000000
1760904732672.174,0.000000,0.000000,0.000000,-0.065372,-0.016388,0.159837,1.000000,1.000000,1.000000,0.091925,0.087825,0.089875,1.000000,1.000000,1.000000
1760904732739.823,0.000000,0.000000,0.000000,-0.021564,-0.077853,0.048698,1.000000,1.000000,1.000000,0.092428,0.089322,0.090875,1.000000,1.000000,1.000000
1760904732804.238,0.000000,0.000000,0.000000,0.067815,-0.054678,0.000927,1.000000,1.000000,1.000000,0.099948,0.081672,0.090810,1.000000,1.000000,1.000000
1760904732871.772,0.000000,0.000000,0.000000,0.068044,-0.065478,0.001712,1.000000,1.000000,1.000000,0.097671,0.084319,0.090995,1.000000,1.000000,1.000000
1760904732940.150,0.000000,0.000000,0.000000,0.064041,-0.102551,0.000035,1.000000,1.000000,1.000000,0.096553,0.081997,0.089275,1.000000,1.000000,1.000000
1760904733008.053,0.000000,0.000000,0.000000,0.051371,-0.104307,0.001483,1.000000,1.000000,1.000000,0.096286,0.082438,0.089362,1.000000,1.000000,1.000000
1760904733072.065,0.000000,0.101300,0.050650,0.316490,-0.126307,0.003921,1.000000,1.000000,1.000000,0.115631,0.076337,0.095984,1.000000,1.000000,1.000000
1760904733140.143,0.000000,0.000000,0.000000,0.025009,-0.070998,0.003824,1.000000,1.000000,1.000000,0.095783,0.085715,0.090749,1.000000,1.000000,1.000000
1760904733204.219,0.000000,0.000000,0.000000,0.030131,-0.087640,0.004371,1.000000,1.000000,1.000000,0.095822,0.081803,0.088812,1.000000,1.000000,1.000000
1760904733272.014,0.000000,0.000000,0.000000,0.090297,-0.055396,0.003737,1.000000,1.000000,1.000000,0.099995,0.088386,0.094190,1.000000,1.000000,1.000000
1760904733339.877,0.000000,0.000000,0.000000,0.176057,-0.035989,0.003119,1.000000,1.000000,1.000000,0.101878,0.089200,0.095539,1.000000,1.000000,1.000000
1760904733404.514,0.000000,0.000000,0.000000,0.088571,-0.055952,0.005091,1.000000,1.000000,1.000000,0.096845,0.091920,0.094382,1.000000,1.000000,1.000000
1760904733472.110,0.000000,0.000000,0.000000,-0.011575,-0.070820,0.004112,1.000000,1.000000,1.000000,0.091620,0.084810,0.088215,1.000000,1.000000,1.000000
1760904733540.631,0.000000,0.000000,0.000000,0.050337,-0.036098,0.003226,1.000000,1.000000,1.000000,0.098249,0.077981,0.088115,1.000000,1.000000,1.000000
1760904733604.848,0.000000,0.000000,0.000000,0.067238,-0.086914,0.003379,1.000000,1.000000,1.000000,0.098044,0.076863,0.087454,1.000000,1.000000,1.000000
1760904733672.477,0.000000,0.000000,0.000000,0.056613,-0.066111,0.006789,1.000000,1.000000,1.000000,0.100986,0.079468,0.090227,1.000000,1.000000,1.000000
